idOriginal, Engagements
003o0000005BdxA, 2
003o0000005BdxN, 7
003o0000005BdxU, 3
003o0000005BdxY, 2
003o0000005Bdxa, 4
003o0000005Bdxb, 3
003o0000005Bdxe, 6
003o0000005Bdxl, 1
003o0000005Bdxq, 1
003o0000005BdyE, 3
003o0000005Bdzc, 1
003o0000005Bdzo, 9
003o0000005Be02, 6
003o0000005Be03, 1
003o0000005Be08, 1
003o0000005Be09, 1
003o0000005Be0A, 4
003o0000005Be0C, 7
003o0000005Be0D, 1
003o0000005Be0E, 2
003o0000005Be0N, 4
003o0000005Be0O, 9
003o0000005Be0R, 8
003o0000005Be0X, 3
003o0000005Be0Y, 4
003o0000005Be2U, 1
003o0000005Be2W, 1
003o0000005Be2X, 13
003o0000005Be2Y, 5
003o0000005Be2d, 3
003o0000005Be3L, 1
003o0000005Be3M, 1
003o0000005Be3N, 4
003o0000005Be3V, 2
003o0000005Be3W, 6
003o0000005Be3X, 1
003o0000005Be3Y, 1
003o0000005Be3Z, 13
003o0000005Be4Q, 2
003o0000005Be4e, 7
003o0000005Be4g, 2
003o0000005Be4h, 5
003o0000005Be4i, 6
003o0000005BebU, 5
003o0000005Bebp, 7
003o0000005Bebs, 1
003o0000005BedD, 1
003o0000005BedO, 2
003o0000005Beed, 10
003o0000005Beee, 1
003o0000005Beei, 2
003o0000005Bees, 5
003o0000005BefR, 5
003o0000005BefY, 9
003o0000005Befi, 5
003o0000005Befo, 2
003o0000005Befp, 6
003o0000005Befv, 1
003o0000005Beg3, 8
003o0000005BegW, 6
003o0000005Begt, 6
003o0000005Bei6, 5
003o0000005Bejd, 8
003o0000005Bel9, 4
003o0000005BelE, 5
003o0000005BelS, 5
003o0000005Bemx, 1
003o0000005Beng, 6
003o0000005Bens, 1
003o0000005Bep8, 6
003o0000005Bepc, 2
003o0000005Beph, 1
003o0000005Bes3, 6
003o0000005Bes7, 6
003o0000005BetP, 4
003o0000005Beu2, 5
003o0000005BeuG, 6
003o0000005BeuK, 4
003o0000005Beul, 3
003o0000005Beut, 7
003o0000005Bevh, 2
003o0000005Bew2, 4
003o0000005Cue6, 4
003o0000005Cue9, 4
003o0000005CueB, 5
003o0000005CufB, 6
003o0000005CufK, 7
003o0000005CufL, 5
003o0000005CufZ, 5
003o0000005Cufb, 1
003o0000005Cufv, 2
003o0000005CugD, 9
003o0000005CugE, 8
003o0000005CugI, 6
003o0000005Cuge, 8
003o0000005Cugm, 4
003o0000005CuhX, 2
003o0000005CuiH, 5
003o0000005Cuim, 6
003o0000005Cuit, 7
003o0000005Cujs, 5
003o0000005CulW, 6
003o0000005Cull, 2
003o0000005Culm, 5
003o0000005Cumt, 1
003o0000005Cupq, 8
003o0000005CurG, 6
003o0000005EQ2U, 8
003o0000005EQ7e, 4
003o0000005EQ9O, 7
003o0000005EQCP, 6
003o0000005EQCS, 3
003o0000005EQCU, 9
003o0000005EQDo, 5
003o0000005EQEL, 6
003o0000005EQFg, 3
003o0000005EQHJ, 2
003o0000005EQHN, 1
003o0000005EQHR, 8
003o0000005EQHY, 6
003o0000005EQHb, 4
003o0000005EQHe, 2
003o0000005EQHo, 6
003o0000005EQHr, 5
003o0000005EQHu, 3
003o0000005EQHv, 2
003o0000005EQIK, 6
003o0000005EQIM, 3
003o0000005EQIT, 5
003o0000005EQIb, 4
003o0000005EQId, 10
003o0000005EQIh, 3
003o0000005EQIm, 4
003o0000005EQIt, 1
003o0000005EQJ1, 9
003o0000005EQJE, 5
003o0000005EQJL, 6
003o0000005EQJP, 5
003o0000005EQJW, 3
003o0000005EQJX, 2
003o0000005EQJZ, 9
003o0000005EQJd, 6
003o0000005EQJh, 4
003o0000005EQJi, 4
003o0000005EQJj, 3
003o0000005EQJk, 1
003o0000005EQJl, 1
003o0000005EQJm, 1
003o0000005EQJt, 2
003o0000005EQJw, 6
003o0000005EQJx, 3
003o0000005EQJy, 3
003o0000005EQJz, 4
003o0000005EQK3, 4
003o0000005EQK8, 6
003o0000005EQKB, 5
003o0000005EQKE, 6
003o0000005EQKL, 3
003o0000005EQKQ, 7
003o0000005EQKU, 1
003o0000005EQKX, 3
003o0000005EQKn, 3
003o0000005EQKo, 1
003o0000005EQKr, 6
003o0000005EQKx, 5
003o0000005EQKz, 2
003o0000005EQL2, 4
003o0000005EQL4, 1
003o0000005EQL9, 5
003o0000005EQLA, 3
003o0000005EQLB, 2
003o0000005EQLE, 5
003o0000005EQLK, 5
003o0000005EQLM, 6
003o0000005EQLO, 9
003o0000005EQLP, 1
003o0000005EQLa, 7
003o0000005EQLi, 6
003o0000005EQLq, 4
003o0000005EQLr, 3
003o0000005EQLs, 5
003o0000005EQLu, 2
003o0000005EQLv, 5
003o0000005EQM4, 1
003o0000005EQMF, 1
003o0000005EQMR, 1
003o0000005EQMT, 1
003o0000005EQMU, 5
003o0000005EQMX, 6
003o0000005EQMc, 2
003o0000005EQMd, 4
003o0000005EQMe, 1
003o0000005EQMl, 1
003o0000005EQMn, 1
003o0000005EQMo, 8
003o0000005EQMw, 2
003o0000005EQMy, 2
003o0000005EQN5, 3
003o0000005EQN6, 9
003o0000005EQNB, 4
003o0000005EQNI, 6
003o0000005EQNK, 4
003o0000005EQNM, 3
003o0000005EQNO, 4
003o0000005EQNT, 6
003o0000005EQNU, 7
003o0000005EQNY, 2
003o0000005EQNd, 4
003o0000005EQNf, 1
003o0000005EQNj, 6
003o0000005EQNk, 1
003o0000005EQNl, 4
003o0000005EQNm, 4
003o0000005EQNo, 5
003o0000005EQNq, 3
003o0000005EQNw, 4
003o0000005EQNx, 5
003o0000005EQO6, 6
003o0000005EQO8, 3
003o0000005EQOA, 9
003o0000005EQOB, 3
003o0000005EQOL, 9
003o0000005EQOQ, 5
003o0000005EQOR, 2
003o0000005EQOV, 7
003o0000005EQOZ, 7
003o0000005EQOi, 6
003o0000005EQXH, 2
003o000000FIU6B, 4
