idOriginal,newClusters,xs,ys,point,xVal,yVal
003o0000005EQJE,5,0.27459907,0.256170624,1,0,0
003o0000005EQJy,5,0.280675623,0.239526176,2,0.5,0
003o0000005Cull,5,0.34437311,0.30214322,3,0.5,-0.5
003o0000005EQJt,5,0.310446474,0.258400644,4,0,-0.5
003o0000005EQLB,5,0.210481521,0.205250362,5,-0.5,-0.5
003o0000005Bew2,5,0.356163614,0.436525634,6,-0.5,0
003o0000005EQJW,5,0.434908782,0.352283432,7,-0.5,0.5
003o0000005BefR,5,-0.275032221,0.300300258,8,0,0.5
003o0000005EQK8,5,-0.173769927,0.426365055,9,0.5,0.5
003o0000005Befv,5,-0.027184164,0.383018236,10,1,0.5
003o0000005EQOB,5,-0.009039546,0.52201213,11,1,0
003o0000005EQJl,5,-0.213509924,0.501210398,12,1,-0.5
003o0000005EQHo,5,-0.365036171,0.220481505,13,1,-1
003o0000005EQOi,5,-0.252871133,0.474251987,14,0.5,-1
003o0000005Cue9,5,-0.083510979,0.508166849,15,0,-1
003o0000005EQIK,5,-0.441142576,0.246806371,16,-0.5,-1
003o0000005EQKU,5,-0.185737167,0.377403336,17,-1,-1
003o0000005Befo,5,-0.416350035,0.443017422,18,-1,-0.5
003o0000005EQOA,5,0.267551063,0.501713734,19,-1,0
003o0000005BeuG,5,-0.164592488,0.17237064,20,-1,0.5
003o0000005Be8I,5,-0.170787388,0.535892935,21,-1,1
003o0000005Be9m,5,-0.272720571,0.334121874,22,-0.5,1
003o0000005Be9P,5,-0.236988489,0.331936054,23,0,1
003o0000005Be87,5,-0.220866536,0.291772925,24,0.5,1
003o0000005Be8f,5,-0.189068979,0.407604901,25,1,1
003o0000005Be8e,5,-0.119465807,0.137635043,26,1.5,1
003o0000005Be9A,5,-0.086069384,0.09378792,27,1.5,0.5
003o0000005Be6h,5,-0.291184998,0.23564636,28,1.5,0
003o0000005Be9c,5,-0.298842271,0.219084152,29,1.5,-0.5
003o0000005Be82,5,-0.107689538,0.049473109,30,1.5,-1
003o0000005Be9I,5,-0.249167932,0.224389526,31,1.5,-1.5
003o0000005Be9t,5,-0.20218735,0.164714963,32,1,-1.5
003o0000005EQL4,5,0.281861821,0.320900527,33,0.5,-1.5
003o0000005EQIM,5,0.212990174,0.39872611,34,0,-1.5
003o0000005EQLa,5,-0.133631674,0.452518809,35,-0.5,-1.5
003o0000005EQJi,5,-0.096435544,0.326015841,36,-1,-1.5
003o0000005EQ9O,5,0.050971125,0.493104979,37,-1.5,-1.5
003o0000005EQNw,5,0.028046586,0.466309628,38,-1.5,-1
003o0000005EQM4,5,0.026338273,0.282244219,39,-1.5,-0.5
003o0000005EQKL,5,-0.163872891,0.499991628,40,-1.5,0
003o0000005EQLE,5,-0.094385787,0.541135662,41,-1.5,0.5
003o0000005EQJx,5,-0.260567708,0.351331386,42,-1.5,1
003o0000005EQMd,5,-0.333945489,0.458262396,43,-1.5,1.5
003o0000005EQO6,5,-0.263985124,0.439698721,44,-1,1.5
003o0000005EQNY,5,0.133159733,0.583315773,45,-0.5,1.5
003o0000005Begt,5,-0.220959605,0.471288527,46,0,1.5
003o0000005EQN6,5,0.114507306,0.364761681,47,0.5,1.5
003o0000005Bemx,5,0.23145241,0.451902518,48,1,1.5
003o0000005EQJj,5,0.195285876,0.442064282,49,1.5,1.5
003o0000005Beee,5,0.043388058,0.51659809,50,2,1.5
003o0000005EQOV,5,0.068397657,0.444475961,51,2,1
003o0000005BedD,5,-0.034120615,0.49272332,52,2,0.5
003o0000005CufK,5,0.15568603,0.389880973,53,2,0
003o0000005EQJh,5,-0.002608558,0.436602759,54,2,-0.5
003o0000005EQMo,5,-0.162382543,0.544527336,55,2,-1
003o0000005EQNI,5,-0.286628063,0.50997479,56,2,-1.5
003o0000005EQK3,5,-0.118964017,0.488300663,57,2,-2
003o0000005Befi,5,-0.033372472,0.465582149,58,1.5,-2
003o0000005EQMU,5,0.022131791,0.406393835,59,1,-2
003o0000005EQL9,5,-0.058099556,0.34604611,60,0.5,-2
003o0000005Cuit,5,-0.012504828,0.411509617,61,0,-2
003o0000005EQLM,5,-0.099607751,0.493749003,62,-0.5,-2
003o0000005CufL,5,0.009113903,0.335657022,63,-1,-2
003o0000005EQHu,5,-0.067916998,0.458650503,64,-1.5,-2
