rank,Number,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY,cohortYear,status,gender,yearsteaching
0,383,003o0000005Bdx8,4,0.0308900,-0.2711000,384,3.5,-5.0,-0.2250190,-0.1624963,0.0772842,0.2780003,6.1324153,0.2748466,-0.0417555,2.2748466,0.9248466,1.7082445,0.15,0,1,17
1,284,003o0000005BdxA,1,0.1440200,0.1661800,285,2.0,4.0,0.2214238,0.0021967,0.0328819,0.1813336,4.1660997,-0.0942065,-0.1549420,-2.0942065,-0.8442065,-1.9549420,0.00,0,1,12
2,300,003o0000005Bdxa,1,-0.3880700,0.3545400,301,4.5,-1.5,0.2214238,0.0021967,0.4956285,0.7040089,13.3245912,0.5111532,0.4840981,-1.4888468,-0.2388468,-1.3159019,0.00,0,0,11
3,307,003o0000005Bdxb,6,0.4692800,-0.2830100,308,4.0,-4.5,0.2472493,-0.3539287,0.0543271,0.2330818,5.2379134,0.1169294,-0.2016299,0.1169294,0.0669294,0.3983701,0.00,0,0,11
4,226,003o0000005Bdxe,1,0.2972500,0.0689500,227,4.0,3.0,0.2214238,0.0021967,0.0102056,0.1010229,2.4059905,-0.0749011,0.0677897,-2.0749011,-0.8249011,-1.7322103,0.00,0,1,11
5,223,003o0000005Bdxl,1,0.2369400,-0.0790400,224,3.0,3.5,0.2214238,0.0021967,0.0068401,0.0827052,1.9865679,-0.0334043,0.0756591,-2.0334043,-0.7834043,-1.7243409,0.00,1,1,8
6,224,003o0000005BdxN,1,0.3449600,0.1769800,225,3.5,3.5,0.2214238,0.0021967,0.0458104,0.2140336,4.8487102,0.0290870,-0.2120480,-1.9709130,-0.7209130,-2.0120480,0.00,0,1,11
7,225,003o0000005Bdxq,1,0.4322200,0.0810100,226,4.0,3.5,0.2214238,0.0021967,0.0506466,0.2250479,5.0744994,0.0797229,-0.2104539,-1.9202771,-0.6702771,-2.0104539,0.00,0,1,11
8,229,003o0000005BdxU,1,-0.0348800,-0.5039400,230,4.0,1.5,0.2214238,0.0021967,0.3218660,0.5673323,11.2343755,0.1341957,-0.5512327,-1.8658043,-0.6158043,-2.3512327,0.00,0,0,11
9,222,003o0000005BdxY,1,0.4950100,-0.1891600,223,2.5,3.5,0.2214238,0.0021967,0.1114668,0.3338664,7.2020450,0.2025658,0.2653938,-1.7974342,-0.5474342,-1.5346062,0.00,0,1,11
10,219,003o0000005BdyE,1,0.1464500,0.0359800,220,1.0,3.5,0.2214238,0.0021967,0.0067624,0.0822337,1.9756792,-0.0323928,0.0755850,-2.0323928,-0.7823928,-1.7244150,0.00,0,1,10
11,385,003o0000005BdyO,4,0.0050300,-0.2065700,386,2.5,-5.0,-0.2250190,-0.1624963,0.0548650,0.2342329,5.2612406,0.1222011,-0.1998297,2.1222011,0.7722011,1.5501703,0.15,0,1,9
12,330,003o0000005Bdyp,6,0.1514400,-0.4654600,331,-4.5,-1.5,0.2472493,-0.3539287,0.0216187,0.1470328,3.4294613,-0.1409826,-0.0417440,-0.1409826,-0.1909826,0.5582560,0.15,0,0,8
13,340,003o0000005BdzA,6,-0.0521400,-0.4922800,341,-4.5,3.5,0.2472493,-0.3539287,0.1087750,0.3298106,7.1259127,0.2194657,0.2461907,0.2194657,0.1694657,0.8461907,0.15,1,1,4
14,421,003o0000005Bdza,2,-0.0141600,-0.4381600,422,-4.5,5.0,0.0846223,-0.2429010,0.0478840,0.2188242,4.9471653,0.0509041,-0.2128211,4.0509041,1.7009041,-1.5428211,0.15,1,1,6
15,185,003o0000005Bdzb,0,-0.1556800,-0.4055300,186,2.0,-3.5,-0.3321476,-0.1116428,0.1175105,0.3427980,7.3688879,0.1598437,0.3032498,-3.8401563,-1.3401563,-0.0967502,0.15,0,0,8
16,308,003o0000005Bdzc,6,0.3466200,-0.2298900,309,3.5,-4.5,0.2472493,-0.3539287,0.0252601,0.1589344,3.6875237,-0.1358324,-0.0825210,-0.1358324,-0.1858324,0.5174790,0.00,1,0,5
17,366,003o0000005Bdze,6,0.0110200,-0.4154900,367,5.0,2.0,0.2472493,-0.3539287,0.0595941,0.2441189,5.4606901,0.1660972,-0.1789015,0.1660972,0.1160972,0.4210985,0.15,1,1,6
18,328,003o0000005Bdzf,6,0.1282700,-0.4022000,329,-4.5,-2.5,0.2472493,-0.3539287,0.0164862,0.1283985,3.0199851,-0.1274503,0.0155758,-0.1274503,-0.1774503,0.6155758,0.15,1,1,4
19,381,003o0000005BdzH,4,-0.0103100,-0.2813600,382,4.5,-5.0,-0.2250190,-0.1624963,0.0602285,0.2454150,5.4867206,0.1716036,-0.1754444,2.1716036,0.8216036,1.5745556,0.15,0,0,7
20,346,003o0000005BdzJ,6,0.3369400,-0.4085400,347,-2.5,4.5,0.2472493,-0.3539287,0.0110268,0.1050087,2.4963300,-0.0838958,0.0631531,-0.0838958,-0.1338958,0.6631531,0.15,0,1,7
21,329,003o0000005BdzK,6,0.1616900,-0.4780800,330,-4.5,-2.0,0.2472493,-0.3539287,0.0227339,0.1507778,3.5109510,-0.1406092,-0.0544334,-0.1406092,-0.1906092,0.5455666,0.15,0,0,8
22,382,003o0000005BdzL,4,-0.1132700,-0.3286900,383,4.0,-5.0,-0.2250190,-0.1624963,0.0401082,0.2002703,4.5636687,-0.0296746,-0.1980596,1.9703254,0.6203254,1.5519404,0.15,0,1,8
23,220,003o0000005Bdzo,1,0.2332600,0.0909900,221,1.5,3.5,0.2214238,0.0021967,0.0080244,0.0895787,2.1447786,-0.0486395,0.0752233,-2.0486395,-0.7986395,-1.7247767,0.00,0,0,7
24,336,003o0000005BdzX,6,0.0362800,-0.3205700,337,-4.5,1.5,0.2472493,-0.3539287,0.0456208,0.2135903,4.8395796,0.0270935,-0.2118650,0.0270935,-0.0229065,0.3881350,0.15,0,0,7
25,386,003o0000005BdzY,4,-0.0129200,-0.3265500,387,2.0,-5.0,-0.2250190,-0.1624963,0.0718996,0.2681410,5.9388013,0.2523967,-0.0905289,2.2523967,0.9023967,1.6594711,0.15,1,1,6
26,327,003o0000005BdzZ,6,0.1392900,-0.4669400,328,-4.5,-3.0,0.2472493,-0.3539287,0.0244268,0.1562906,3.6304287,-0.1379859,-0.0733939,-0.1379859,-0.1879859,0.5266061,0.15,0,0,7
27,412,003o0000005Be02,2,0.3576200,-0.3128100,413,-5.0,1.0,0.0846223,-0.2429010,0.0794150,0.2818067,6.2067650,0.2809843,-0.0215148,4.2809843,1.9309843,-1.3515148,0.00,0,0,7
28,288,003o0000005Be03,1,-0.0479000,-0.1150800,289,4.0,4.0,0.2214238,0.0021967,0.0862891,0.2937501,6.4386267,0.2902085,0.0454773,-1.7097915,-0.4597915,-1.7545227,0.00,1,1,4
29,306,003o0000005Be08,6,0.3948600,-0.2179100,307,4.5,-4.5,0.2472493,-0.3539287,0.0402900,0.2007237,4.5731119,-0.0278659,-0.1987800,-0.0278659,-0.0778659,0.4012200,0.00,1,1,3
30,282,003o0000005Be0A,1,-0.1015200,-0.5116000,283,1.0,4.0,0.2214238,0.0021967,0.3682797,0.6068605,11.8570576,0.4604915,-0.3952559,-1.5395085,-0.2895085,-2.1952559,0.00,1,1,6
31,283,003o0000005Be0C,1,0.0646600,0.1179600,284,1.5,4.0,0.2214238,0.0021967,0.0379760,0.1948744,4.4510274,-0.0503548,-0.1882563,-2.0503548,-0.8003548,-1.9882563,0.00,0,1,7
32,289,003o0000005Be0D,1,0.0661700,-0.1905200,290,4.5,4.0,0.2214238,0.0021967,0.0612435,0.2474742,5.5280209,0.1802005,-0.1696209,-1.8197995,-0.5697995,-1.9696209,0.00,0,1,7
33,218,003o0000005Be0E,1,0.0321500,-0.0843500,219,0.5,3.5,0.2214238,0.0021967,0.0433149,0.2081223,4.7266839,0.0029750,-0.2081011,-1.9970250,-0.7470250,-2.0081011,0.00,0,0,7
34,414,003o0000005Be0N,2,0.3304800,-0.0986400,415,-5.0,2.0,0.0846223,-0.2429010,0.0812573,0.2850566,6.2700688,0.2850321,-0.0037388,4.2850321,1.9350321,-1.3337388,0.00,0,1,7
35,221,003o0000005Be0O,1,0.2601400,0.0183600,222,2.0,3.5,0.2214238,0.0021967,0.0017602,0.0419547,1.0274616,0.0216903,0.0359128,-1.9783097,-0.7283097,-1.7640872,0.00,0,0,7
36,299,003o0000005Be0R,1,0.0426600,-0.3566700,300,4.5,-1.0,0.2214238,0.0021967,0.1607418,0.4009262,8.4283390,-0.2178213,0.3365942,-2.2178213,-0.9678213,-1.4634058,0.00,0,1,7
37,217,003o0000005Be0X,1,0.0842700,-0.0309500,218,0.0,3.5,0.2214238,0.0021967,0.0199099,0.1411023,3.2998689,-0.1393386,-0.0222400,-2.1393386,-0.8893386,-1.8222400,0.00,0,1,6
