Number,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY
0,003o0000005EQJE,5,0.2746,0.25617,1,0,0,-0.06329392,-0.0532988,0.209943239,0.458195634,9.429995113,-0.458189399,-0.002390466,-6.458189399,-2.458189399,0.997609534
1,003o0000005EQJy,5,0.28068,0.23953,2,0.5,0,-0.06329392,-0.0532988,0.204066764,0.451737494,9.319027775,-0.449213934,0.047682335,-6.449213934,-2.449213934,1.047682335
2,003o0000005Cull,5,0.34437,0.30214,3,0.5,-0.5,-0.06329392,-0.0532988,0.292526612,0.540857294,10.80847364,-0.100605365,-0.531418077,-6.100605365,-2.100605365,0.468581923
3,003o0000005EQJt,5,0.31045,0.2584,4,0,-0.5,-0.06329392,-0.0532988,0.23684066,0.486662778,9.913346545,-0.429725966,-0.22842122,-6.429725966,-2.429725966,0.77157878
4,003o0000005EQLB,5,0.21048,0.20525,5,-0.5,-0.5,-0.06329392,-0.0532988,0.141799641,0.376562931,7.989744073,-0.050966201,0.37309796,-6.050966201,-2.050966201,1.37309796
5,003o0000005Bew2,5,0.35616,0.43653,6,-0.5,0,-0.06329392,-0.0532988,0.415873844,0.644882814,12.44172861,0.639879966,-0.080171526,-5.360120034,-1.360120034,0.919828474
6,003o0000005EQJW,5,0.43491,0.35228,7,-0.5,0.5,-0.06329392,-0.0532988,0.412701309,0.642418329,12.40424366,0.633993775,-0.103697647,-5.366006225,-1.366006225,0.896302353
7,003o0000005BefR,5,-0.27503,0.3003,8,0,0.5,-0.06329392,-0.0532988,0.169864279,0.412145944,8.627762333,-0.28802591,0.294797141,-6.28802591,-2.28802591,1.294797141
8,003o0000005EQK8,5,-0.17377,0.42637,9,0.5,0.5,-0.06329392,-0.0532988,0.242287122,0.492226698,10.00673581,-0.411200325,-0.270557599,-6.411200325,-2.411200325,0.729442401
9,003o0000005Befv,5,-0.02718,0.38302,10,1,0.5,-0.06329392,-0.0532988,0.19167831,0.437810816,9.07804225,-0.411755391,0.148781075,-6.411755391,-2.411755391,1.148781075
10,003o0000005EQOB,5,-0.00904,0.52201,11,1,0,-0.06329392,-0.0532988,0.333923703,0.577861318,11.40175835,0.228316914,-0.530843753,-5.771683086,-1.771683086,0.469156247
11,003o0000005EQJl,5,-0.21351,0.50121,12,1,-0.5,-0.06329392,-0.0532988,0.33004488,0.574495326,11.34836983,0.198501073,-0.539112422,-5.801498927,-1.801498927,0.460887578
12,003o0000005EQHo,5,-0.36504,0.22048,13,1,-1,-0.06329392,-0.0532988,0.166005528,0.40743776,8.544271492,-0.259440356,0.314159561,-6.259440356,-2.259440356,1.314159561
13,003o0000005EQOi,5,-0.25287,0.47425,14,0.5,-1,-0.06329392,-0.0532988,0.314246826,0.560577226,11.12639424,0.073125692,-0.555787243,-5.926874308,-1.926874308,0.444212757
14,003o0000005Cue9,5,-0.08351,0.50817,15,0,-1,-0.06329392,-0.0532988,0.315655903,0.561832629,11.14649735,0.084471968,-0.555446118,-5.915528032,-1.915528032,0.444553882
15,003o0000005EQIK,5,-0.44114,0.24681,16,-0.5,-1,-0.06329392,-0.0532988,0.232832952,0.48252767,9.843712898,-0.440799986,-0.196286333,-6.440799986,-2.440799986,0.803713667
16,003o0000005EQKU,5,-0.18574,0.3774,17,-1,-1,-0.06329392,-0.0532988,0.200494499,0.447766121,9.250544051,-0.440986777,0.077621912,-6.440986777,-2.440986777,1.077621912
17,003o0000005Befo,5,-0.41635,-0.44302,18,-1,-0.5,-0.06329392,-0.0532988,0.276531209,0.525862348,10.56399311,-0.219972172,-0.477643647,-6.219972172,-2.219972172,0.522356353
18,003o0000005EQOA,5,0.26755,0.50171,19,-1,0,-0.06329392,-0.0532988,0.417492467,0.64613657,12.46077675,0.642537684,-0.06810134,-5.357462316,-1.357462316,0.93189866
19,003o0000005BeuG,5,-0.16459,0.17237,20,-1,0.5,-0.06329392,-0.0532988,0.061187303,0.247360674,5.525746459,0.179731787,-0.169952311,-5.820268213,-1.820268213,0.830047689
20,003o0000005Be8I,5,-0.17079,0.53589,21,-1,1,-0.06329392,-0.0532988,0.358698849,0.598914726,11.73312757,0.402757621,-0.443266453,-5.597242379,-1.597242379,0.556733547
21,003o0000005Be9m,5,-0.27272,0.33412,22,-0.5,1,-0.06329392,-0.0532988,0.19395261,0.44040051,9.123030179,-0.420502566,0.130882396,-6.420502566,-2.420502566,1.130882396
