caseNumber,CODEYR,clusters,xStart,yStart,xs,ys
0,6,2,-0.083532017,-0.223605052,-0.103253894,-0.033477007
1,7,2,-0.443544117,-0.165176109,-0.522427376,-0.138543701
2,12,2,-0.641760009,-0.012829725,0.00592977,-0.4798731
3,7,0,-0.187513674,-0.409278894,0.450849287,0.302846502
4,9,2,-0.450690878,-0.340663721,-0.233740011,0.56490324
5,10,3,0.327738505,-0.416655812,0.157105842,-0.516088997
6,7,2,-0.328064331,-0.433540719,-0.203857238,-0.200792597
7,15,0,-0.025643573,-0.559675106,-0.459552177,-0.254371108
8,14,2,-0.537828945,-0.319975814,-0.49251343,-0.059409183
9,11,0,0.213480011,-0.340417879,0.121728184,-0.346727294
10,6,2,0.18714423,-0.492834997,-0.354353158,-0.162566089
11,7,2,-0.150816613,-0.297601608,-0.106387507,-0.578011654
12,7,2,-0.257554786,-0.243554475,-0.240111215,0.182771421
13,15,2,-0.579996035,0.106184519,-0.041160086,0.39855456
14,4,3,-0.221804589,-0.03512095,-0.174064378,0.077706896
15,7,0,-0.299974711,-0.513807073,-0.173142635,-0.089151084
16,11,2,-0.411179353,-0.399770824,-0.030467891,-0.173687245
17,8,2,-0.361153592,-0.061856392,0.306913099,0.340237632
18,7,0,-0.518851635,0.003306239,0.139423555,0.07414817
19,7,2,-0.447901048,-0.220108886,0.430092394,-0.069264552
20,12,3,-0.515980959,0.19893951,0.076645182,0.176588634
21,11,3,0.345125434,-0.320548976,0.31003272,-0.069988785
22,11,0,0.039056135,-0.560940125,0.118943924,0.127844034
23,17,0,-0.064789858,-0.607769794,0.3653266,0.224345258
24,3,0,-0.12993057,-0.458410135,-0.149565594,0.47929345
25,11,2,-0.151216212,-0.215468766,0.045695753,-0.034092026
26,11,0,-0.120207115,-0.531988272,-0.040801546,0.198408734
27,7,2,-0.535874886,-0.166644058,-0.342308917,0.136667378
28,11,3,0.473529307,-0.334924282,0.408473123,-0.055670323
29,5,0,-0.013065818,-0.372159013,0.403355468,0.034898434
30,12,1,-0.101096489,0.145052185,0.406836622,0.058419919
31,7,0,0.010157831,-0.45919735,0.186535923,-0.304017442
32,7,2,-0.473160902,0.095821457,0.492072333,-0.055209657
33,7,0,0.121693137,-0.41164329,0.250793142,-0.166805855
34,11,2,0.112660512,-0.568370097,0.265576709,0.12412239
35,10,2,-0.098242136,-0.119771522,0.231549702,-0.044352594
36,27,2,-0.304497275,-0.000444639,0.427619748,0.191788409
37,9,2,-0.470831264,-0.056612994,-0.108789769,0.169217147
38,4,2,-0.192317443,-0.294297895,0.474743162,-0.105342432
39,16,2,0.26295426,-0.547770654,0.07984126,0.27345201
40,16,0,0.166124105,-0.289699749,0.063695863,0.220406829
41,11,0,0.0625063,-0.300322734,0.211834579,0.258431348
42,14,0,-0.020630221,-0.480787143,0.050389789,0.476957492
43,9,2,-0.382466095,-0.263328539,-0.261576341,0.393498918
44,13,2,-0.522996711,-0.295244078,-0.037025189,-0.457461676
45,10,0,-0.234374684,-0.518006413,0.127213748,-0.231221405
46,14,2,-0.268969864,-0.330534099,0.043646793,-0.277468941
47,9,0,0.100909682,-0.518080749,-0.292262168,0.269756296
48,15,0,-0.168044209,-0.609676271,0.031767032,-0.241715504
49,15,2,-0.431882604,-0.279732925,-0.379364087,0.350236906
50,9,2,-0.401468661,-0.136607354,-0.129972132,-0.141123192
51,8,0,-0.261107028,-0.430332524,0.501013559,0.229671913
52,14,3,0.488728132,-0.411497043,0.496628591,-0.002743892
53,16,3,-0.499440812,0.271895915,-0.386120713,0.158367518
54,9,3,0.395120424,-0.405544665,0.222701334,0.376411491
55,21,2,-0.389317751,-0.360298998,0.633672645,0.253789902
56,13,3,-0.541181486,0.245285392,0.118024846,-0.253430759
57,10,0,0.209972193,-0.522086838,-0.409491965,0.214302662
58,11,2,-0.337006308,-0.052621948,-0.176086632,0.352620469
59,9,2,0.013973525,-0.368515772,-0.061006349,0.363349272
60,12,2,-0.487268638,-0.20367109,0.359434587,0.261092201
61,9,3,-0.41958686,0.115362596,-0.507332237,0.51481165
62,8,3,0.420917152,-0.36743678,-0.416426956,0.307772238
63,8,0,-0.033673102,-0.26890989,0.093417246,0.469630051
64,15,3,0.383458994,-0.526452314,-0.130945949,-0.272730231
65,8,0,-0.127930236,-0.338828972,0.284244264,0.014893562
66,10,3,0.257327974,-0.304157678,0.467580781,0.171509453
67,10,3,-0.41149698,-0.016120847,-0.102797318,-0.221113224
68,13,2,-0.616422668,0.037087328,0.55824565,0.043278643
69,14,0,-0.097945373,-0.431541623,-0.246737214,-0.320401676
70,11,2,-0.329634913,-0.244418178,-0.052276343,-0.27654108
71,16,2,-0.56157502,-0.144262084,-0.011921075,-0.446329278
72,12,0,0.017073811,-0.54497932,-0.000823741,0.301295516
73,18,2,-0.361826115,-0.483142717,-0.184804641,-0.369056042
74,14,2,-0.321074267,-0.34514128,-0.184850943,0.438685091
75,7,0,-0.23049643,-0.386198972,0.173826865,-0.376602379
76,13,3,0.312518015,-0.320887039,0.45011211,-0.210795047
77,12,2,-0.368640599,-0.176722802,0.307162706,0.392398728
78,13,2,-0.385026845,0.030818121,0.546403916,-0.143501316
79,7,0,0.118100528,-0.3403506,0.387304529,0.386742045
80,15,3,-0.487699471,0.052235608,-0.126427402,0.533252793
81,7,0,0.027719615,-0.263560254,0.596050021,0.116346972
82,21,0,0.061580866,-0.429001289,-0.255855811,0.386664571
83,12,2,-0.550862046,-0.22892628,-0.424969219,-0.200503148
84,9,0,0.011530253,-0.192854349,0.348866718,0.148468684
85,13,0,0.242061192,-0.416440011,0.606552443,0.175757202
86,14,2,-0.239229094,-0.128815712,-0.062375735,0.255938875
87,17,2,-0.515742594,-0.055119617,0.171363518,-0.442858557
88,8,0,0.06099865,-0.600127056,0.362037376,-0.515231209
89,14,2,-0.275240967,-0.115292509,0.077923689,-0.490987593
90,11,0,-0.156723158,-0.413810478,-0.246075116,0.157754973
91,11,3,0.116067299,-0.222710853,-0.097628656,0.529844354
92,9,2,-0.420765632,-0.217224764,0.108657905,-0.3976517
93,10,2,-0.565867907,-0.099132508,-0.324972896,-0.182687578
94,12,2,-0.275457648,-0.305925934,-0.312966317,-0.100535445
95,8,2,-0.412531451,-0.281973544,-0.196502088,-0.484491194
96,8,3,-0.330573201,0.105289551,0.029895995,-0.403498378
97,13,0,0.197037996,-0.215282777,0.527768,0.112719756
98,12,0,-0.148621743,-0.520274954,0.562265566,0.103713673
99,26,2,-0.111910052,-0.191573059,-0.366168307,-0.024501823
100,15,0,0.277979669,-0.472931602,-0.525220352,0.287158814
101,9,2,-0.243779558,-0.188978659,0.521364455,0.173466248
102,27,0,0.200597469,-0.578152264,-0.451207717,0.213285094
103,8,2,-0.402953568,-0.47001279,0.362522032,-0.176548443
104,17,2,-0.428133934,-0.072620366,-0.319974513,0.162661786
105,12,3,-0.13985445,0.228624655,0.383032473,0.288764488
106,5,1,0.438404406,0.27216186,0.337081708,-0.236841557
107,16,3,0.35881142,-0.08500331,0.050325125,0.522430027
108,22,3,0.283805208,-0.086600499,0.464516323,0.061895248
109,8,1,-0.249782772,0.471236366,0.399416198,0.172969599
110,18,3,0.300425353,-0.175200749,-0.434841319,-0.066889292
111,7,1,0.256314713,0.121436644,0.153612439,0.513237687
