,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X
0,003o0000005EQJE,5,0.2746,0.25617,1,0,0,-0.06329392,-0.0532988,0.209943239,0.458195634,13.15205292,0.381830515,0.253275931,-14.61816948
1,003o0000005EQJy,5,0.28068,0.23953,2,0.5,0,-0.06329392,-0.0532988,0.204066764,0.451737494,12.97446776,0.414639753,0.179278105,-14.58536025
2,003o0000005Cull,5,0.34437,0.30214,3,0.5,-0.5,-0.06329392,-0.0532988,0.292526612,0.540857294,15.40669838,-0.516498122,0.160487701,-15.51649812
3,003o0000005EQJt,5,0.31045,0.2584,4,0,-0.5,-0.06329392,-0.0532988,0.23684066,0.486662778,13.93234281,0.098984759,0.476489955,-14.90101524
4,003o0000005EQLB,5,0.21048,0.20525,5,-0.5,-0.5,-0.06329392,-0.0532988,0.141799641,0.376562931,10.89170959,-0.039041313,-0.374533599,-15.03904131
5,003o0000005Bew2,5,0.35616,0.43653,6,-0.5,0,-0.06329392,-0.0532988,0.415873844,0.644882814,18.19672887,0.512275383,-0.391724107,-14.48772462
6,003o0000005EQJW,5,0.43491,0.35228,7,-0.5,0.5,-0.06329392,-0.0532988,0.412701309,0.642418329,18.13122643,0.483680733,-0.422793398,-14.51631927
7,003o0000005BefR,5,-0.27503,0.3003,8,0,0.5,-0.06329392,-0.0532988,0.169864279,0.412145944,11.88116463,0.319119951,-0.260819355,-14.68088005
8,003o0000005EQK8,5,-0.17377,0.42637,9,0.5,0.5,-0.06329392,-0.0532988,0.242287122,0.492226698,14.08437786,0.025972126,0.491541016,-14.97402787
9,003o0000005Befv,5,-0.02718,0.38302,10,1,0.5,-0.06329392,-0.0532988,0.19167831,0.437810816,12.59079658,0.437680217,0.010692889,-14.56231978
10,003o0000005EQOB,5,-0.00904,0.52201,11,1,0,-0.06329392,-0.0532988,0.333923703,0.577861318,16.40512713,-0.44302674,-0.371013491,-15.44302674
11,003o0000005EQJl,5,-0.21351,0.50121,12,1,-0.5,-0.06329392,-0.0532988,0.33004488,0.574495326,16.31458146,-0.471994247,-0.32751536,-15.47199425
12,003o0000005EQHo,5,-0.36504,0.22048,13,1,-1,-0.06329392,-0.0532988,0.166005528,0.40743776,11.75061846,0.279225586,-0.296712994,-14.72077441
13,003o0000005EQOi,5,-0.25287,0.47425,14,0.5,-1,-0.06329392,-0.0532988,0.314246826,0.560577226,15.93960121,-0.545605147,-0.128692852,-15.54560515
14,003o0000005Cue9,5,-0.08351,0.50817,15,0,-1,-0.06329392,-0.0532988,0.315655903,0.561832629,15.97346266,-0.542146904,-0.147419937,-15.5421469
15,003o0000005EQIK,5,-0.44114,0.24681,16,-0.5,-1,-0.06329392,-0.0532988,0.232832952,0.48252767,13.81925037,0.150832465,0.458347597,-14.84916754
16,003o0000005EQKU,5,-0.18574,0.3774,17,-1,-1,-0.06329392,-0.0532988,0.200494499,0.447766121,12.86515892,0.427927336,0.131805514,-14.57207266
17,003o0000005Befo,5,-0.41635,-0.44302,18,-1,-0.5,-0.06329392,-0.0532988,0.276531209,0.525862348,15.00021059,-0.399563275,0.341877754,-15.39956327
18,003o0000005EQOA,5,0.26755,0.50171,19,-1,0,-0.06329392,-0.0532988,0.417492467,0.64613657,18.23004089,0.526058645,-0.375172986,-14.47394135
19,003o0000005BeuG,5,-0.16459,0.17237,20,-1,0.5,-0.06329392,-0.0532988,0.061187303,0.247360674,7.243096354,0.141884315,0.202623158,-14.85811569
20,003o0000005Be8I,5,-0.17079,0.53589,21,-1,1,-0.06329392,-0.0532988,0.358698849,0.598914726,16.97023014,-0.18186516,-0.570634658,-15.18186516
21,003o0000005Be9m,5,-0.27272,0.33412,22,-0.5,1,-0.06329392,-0.0532988,0.19395261,0.44040051,12.66221534,0.438379252,0.042145473,-14.56162075
22,003o0000005Be9P,5,-0.23699,0.33194,23,0,1,-0.06329392,-0.0532988,0.178579261,0.422586395,12.17024758,0.389862922,-0.163052639,-14.61013708
23,003o0000005Be87,5,-0.22087,0.29177,24,0.5,1,-0.06329392,-0.0532988,0.143902698,0.379345091,10.96930859,-0.009962617,-0.379214245,-15.00996262
24,003o0000005Be8f,5,-0.18907,0.4076,25,1,1,-0.06329392,-0.0532988,0.228247326,0.477752369,13.68854291,0.207213687,0.430476264,-14.79278631
25,003o0000005Be8e,5,-0.11947,0.13764,26,1.5,1,-0.06329392,-0.0532988,0.039613377,0.199031096,5.855155225,0.181075543,-0.082613709,-14.81892446
26,003o0000005Be9A,5,-0.08607,0.09379,27,1.5,0.5,-0.06329392,-0.0532988,0.022153865,0.148841744,4.400080945,-0.045732495,-0.141641815,-15.0457325
27,003o0000005Be6h,5,-0.29118,0.23565,28,1.5,0,-0.06329392,-0.0532988,0.135423474,0.367999286,10.65260313,-0.12375326,-0.346566884,-15.12375326
28,003o0000005Be9c,5,-0.29884,0.21908,29,1.5,-0.5,-0.06329392,-0.0532988,0.129672166,0.360100217,10.43171396,-0.192456611,-0.304356074,-15.19245661
29,003o0000005Be82,5,-0.10769,0.04947,30,1.5,-1,-0.06329392,-0.0532988,0.012532438,0.111948373,3.321405806,-0.110143443,-0.02002149,-15.11014344
30,003o0000005Be9I,5,-0.24917,0.22439,31,1.5,-1.5,-0.06329392,-0.0532988,0.111660987,0.334157129,9.70394563,-0.321220277,-0.092078881,-15.32122028
31,003o0000005Be9t,5,-0.20219,0.16471,32,1,-1.5,-0.06329392,-0.0532988,0.066819958,0.258495567,7.561058916,0.074641028,0.247484696,-14.92535897
32,003o0000005EQL4,5,0.28186,0.3209,33,0.5,-1.5,-0.06329392,-0.0532988,0.25915597,0.509073639,14.54378596,-0.201341827,0.467565438,-15.20134183
33,003o0000005EQIM,5,0.21299,0.39873,34,0,-1.5,-0.06329392,-0.0532988,0.28066284,0.529776217,15.10641529,-0.436779603,0.299810638,-15.4367796
34,003o0000005EQLa,5,-0.13363,0.45252,35,-0.5,-1.5,-0.06329392,-0.0532988,0.260799823,0.51068564,14.58767078,-0.22236231,0.459733429,-15.22236231
35,003o0000005EQJi,5,-0.09644,0.32602,36,-1,-1.5,-0.06329392,-0.0532988,0.144981415,0.380764251,11.00887585,0.005064612,-0.380730567,-14.99493539
36,003o0000005EQ9O,5,0.05097,0.4931,37,-1.5,-1.5,-0.06329392,-0.0532988,0.311607892,0.558218498,15.87595958,-0.550359774,-0.093338157,-15.55035977
37,003o0000005EQNw,5,0.02805,0.46631,38,-1.5,-1,-0.06329392,-0.0532988,0.278337017,0.527576551,15.04673554,-0.416383934,0.323977524,-15.41638393
38,003o0000005EQM4,5,0.02634,0.28224,39,-1.5,-0.5,-0.06329392,-0.0532988,0.120620526,0.347304659,10.07320791,-0.276813271,-0.209749706,-15.27681327
39,003o0000005EQKL,5,-0.16387,0.49999,40,-1.5,0,-0.06329392,-0.0532988,0.316244044,0.562355798,15.98757163,-0.540515922,-0.155198526,-15.54051592
40,003o0000005EQLE,5,-0.09439,0.54114,41,-1.5,0.5,-0.06329392,-0.0532988,0.354324453,0.595251588,16.87205924,-0.235470214,-0.546697568,-15.23547021
41,003o0000005EQJx,5,-0.26057,0.35133,42,-1.5,1,-0.06329392,-0.0532988,0.202642318,0.450158103,12.93100583,0.420561968,0.160530212,-14.57943803
42,003o0000005EQMd,5,-0.33395,0.45826,43,-1.5,1.5,-0.06329392,-0.0532988,0.334947119,0.578746162,16.42892047,-0.434739196,-0.382032657,-15.4347392
43,003o0000005EQO6,5,-0.26399,0.4397,44,-1,1.5,-0.06329392,-0.0532988,0.283326733,0.532284448,15.1744378,-0.458307273,0.270704962,-15.45830727
44,003o0000005EQNY,5,0.13316,0.58332,45,-0.5,1.5,-0.06329392,-0.0532988,0.443877639,0.666241427,18.76321468,0.663759618,-0.057452667,-14.33624038
45,003o0000005Begt,5,-0.22096,0.47129,46,0,1.5,-0.06329392,-0.0532988,0.300052002,0.547770026,15.59372063,-0.544199335,0.062442658,-15.54419934
46,003o0000005EQN6,5,0.11451,0.36476,47,0.5,1.5,-0.06329392,-0.0532988,0.206387394,0.454298794,13.04492323,0.403263942,0.209202264,-14.59673606
47,003o0000005Bemx,5,0.23145,0.4519,48,1,1.5,-0.06329392,-0.0532988,0.342099806,0.584892987,16.59410386,-0.36989005,-0.453079636,-15.36989005
48,003o0000005EQJj,5,0.19529,0.44206,49,1.5,1.5,-0.06329392,-0.0532988,0.312245984,0.55878975,15.89137518,-0.549417244,-0.101915046,-15.54941724
49,003o0000005Beee,5,0.04339,0.5166,50,2,1.5,-0.06329392,-0.0532988,0.336166101,0.579798328,16.4572082,-0.424530273,-0.394892578,-15.42453027
50,003o0000005EQOV,5,0.0684,0.44448,51,2,1,-0.06329392,-0.0532988,0.265127022,0.514904867,14.70247354,-0.275821533,0.434798234,-15.27582153
51,003o0000005BedD,5,-0.03412,0.49272,52,2,0.5,-0.06329392,-0.0532988,0.298987648,0.546797629,15.56742676,-0.541406745,0.076592323,-15.54140675
52,003o0000005CufK,5,0.15569,0.38988,53,2,0,-0.06329392,-0.0532988,0.244361406,0.494329249,14.14179033,-0.002285468,0.494323965,-15.00228547
53,003o0000005EQJh,5,-0.00261,0.4366,54,2,-0.5,-0.06329392,-0.0532988,0.243683372,0.49364296,14.12305289,0.00696707,0.493593793,-14.99303293
54,003o0000005EQMo,5,-0.16238,0.54453,55,2,-1,-0.06329392,-0.0532988,0.367217325,0.605984592,17.15951876,-0.072086995,-0.601681635,-15.072087
55,003o0000005EQNI,5,-0.28663,0.50997,56,2,-1.5,-0.06329392,-0.0532988,0.367150746,0.605929654,17.15804879,-0.072964761,-0.601520481,-15.07296476
56,003o0000005EQK3,5,-0.11896,0.4883,57,2,-2,-0.06329392,-0.0532988,0.296427973,0.544451993,15.50398117,-0.533164244,0.110289896,-15.53316424
57,003o0000005Befi,5,-0.03337,0.46558,58,1.5,-2,-0.06329392,-0.0532988,0.27013065,0.519740945,14.83395248,-0.33354677,0.398594032,-15.33354677
58,003o0000005EQMU,5,0.02213,0.40639,59,1,-2,-0.06329392,-0.0532988,0.218611039,0.467558594,13.40914168,0.311111997,0.349027742,-14.688888
59,003o0000005EQL9,5,-0.0581,0.34605,60,0.5,-2,-0.06329392,-0.0532988,0.159506441,0.399382575,11.52700448,0.202393832,-0.344300999,-14.79760617
60,003o0000005Cuit,5,-0.0125,0.41151,61,0,-2,-0.06329392,-0.0532988,0.218627243,0.467575922,13.40961706,0.310957564,0.34918854,-14.68904244
61,003o0000005EQLM,5,-0.09961,0.49375,62,-0.5,-2,-0.06329392,-0.0532988,0.300581247,0.548252904,15.60677607,-0.545448559,0.055381557,-15.54544856
62,003o0000005CufL,5,0.00911,0.33566,63,-1,-2,-0.06329392,-0.0532988,0.156531276,0.395640336,11.42300549,0.164006561,-0.360046002,-14.83599344
63,003o0000005EQHu,5,-0.06792,0.45865,64,-1.5,-2,-0.06329392,-0.0532988,0.262112974,0.511969701,14.62261864,-0.238889118,0.452818908,-15.23888912
64,003o0000005EQNO,5,-0.06162,0.31336,65,-2,-2,-0.06329392,-0.0532988,0.134441478,0.366662621,10.61524756,-0.136113919,-0.340462155,-15.13611392
65,003o0000005EQOQ,5,0.07975,0.39372,66,-2,-1.5,-0.06329392,-0.0532988,0.220287371,0.469347814,13.45822009,0.294738117,0.365262663,-14.70526188
66,003o0000005EQNK,5,-0.0388,0.19932,67,-2,-1,-0.06329392,-0.0532988,0.06441621,0.253803487,7.427156349,0.105070329,0.231033409,-14.89492967
67,003o0000005EQHY,5,-0.05766,0.52681,68,-2,-0.5,-0.06329392,-0.0532988,0.336557961,0.580136157,16.46628969,-0.421171865,-0.398963934,-15.42117187
68,003o0000005Beul,5,-0.07514,0.42874,69,-2,0,-0.06329392,-0.0532988,0.232501734,0.482184336,13.8098566,0.155020977,0.456585404,-14.84497902
69,003o0000005EQLv,5,-0.103,0.39173,70,-2,0.5,-0.06329392,-0.0532988,0.199627206,0.446796604,12.83846166,0.430359423,0.120074864,-14.56964058
70,003o0000005EQHN,5,-0.06196,0.39613,71,-2,1,-0.06329392,-0.0532988,0.201988026,0.44943078,12.910987,0.423006551,0.151833736,-14.57699345
71,003o0000005EQNo,5,-0.31544,0.29534,72,-2,1.5,-0.06329392,-0.0532988,0.185126659,0.430263476,12.38246138,0.423007646,-0.078684118,-14.57699235
72,003o0000005EQLP,5,-0.09671,0.1979,73,-2,2,-0.06329392,-0.0532988,0.064217472,0.253411664,7.415969086,0.107482144,0.229488693,-14.89251786
73,003o0000005EQ7e,5,-0.07121,0.27046,74,-1.5,2,-0.06329392,-0.0532988,0.104882425,0.323855562,9.413978713,-0.323836677,0.003497328,-15.32383668
74,003o0000005Bees,5,-0.14151,0.33716,75,-1,2,-0.06329392,-0.0532988,0.15857583,0.398215808,11.49458709,0.190569742,-0.349655549,-14.80943026
75,003o0000005EQJm,5,-0.11967,0.29869,76,-0.5,2,-0.06329392,-0.0532988,0.127074378,0.356474933,10.33022768,-0.22006333,-0.280439848,-15.22006333
76,003o0000005EQNk,5,0.15561,0.47727,77,0,2,-0.06329392,-0.0532988,0.329422178,0.573953115,16.29999077,-0.476272578,-0.320291444,-15.47627258
77,003o0000005EQMF,5,0.16316,0.31286,78,0.5,2,-0.06329392,-0.0532988,0.185353645,0.430527171,12.38974525,0.423829136,-0.075647262,-14.57617086
